,0
0,0.3446891604789666
1,0.3477217449318795
2,0.34852701507153966
3,0.3430517267613184
4,0.3566834793204353
5,0.3548938387916202
6,0.34819663493406205
7,0.35158599583165984
8,0.34355510019120716
9,0.3430047991020339
10,0.34782954699226787
11,0.3438392297852607
12,0.3573230014315673
13,0.3448769496310325
14,0.3442782509894598
15,0.33926529174759273
16,0.32995694105823836
17,0.33911890245619275
18,0.3408778617779414
19,0.33961617637957847
20,0.3440693498367355
21,0.3534984283504032
22,0.34856893853062676
23,0.3302832302947839
24,0.3495200647839478
25,0.3427618739505609
26,0.3384373668049063
27,0.3287956905861696
28,0.3279982718328635
29,0.3363374607194038
30,0.3237999351961272
31,0.33321557768753596
32,0.32128172264922233
33,0.33281505317205473
34,0.324645699773516
35,0.32918359853682067
36,0.33868462081466405
37,0.3386560158360572
38,0.3368205433800107
39,0.34025864345686774
40,0.3335679492070561
41,0.3461531078886418
42,0.329484396285954
43,0.32854338401839844
44,0.33200495991678464
45,0.3217368571531205
46,0.3266421294638089
47,0.31975859662606604
48,0.3314135020332677
49,0.3269649628727209
