,0
0,0.6325055956840515
1,0.588604211807251
2,0.6097940802574158
3,0.597575843334198
4,0.6106149554252625
5,0.6379340887069702
6,0.6257729530334473
7,0.6230034232139587
8,0.6012900471687317
9,0.529710054397583
10,0.5596909523010254
11,0.6073201298713684
12,0.6264349222183228
13,0.6239994764328003
14,0.6499524116516113
15,0.5988773107528687
16,0.6011122465133667
17,0.5522732734680176
18,0.6052554249763489
19,0.6179150342941284
20,0.5437511801719666
21,0.5746361613273621
22,0.6162182688713074
23,0.6167070865631104
24,0.5928907990455627
25,0.5993791222572327
26,0.6523748636245728
27,0.6332573890686035
28,0.6089102029800415
29,0.6484302282333374
30,0.6409879922866821
31,0.6541971564292908
32,0.612404465675354
33,0.6139402985572815
34,0.6301541328430176
35,0.6462060809135437
36,0.6100778579711914
37,0.6456580758094788
38,0.6476650238037109
39,0.6260504126548767
40,0.6394448280334473
41,0.6332352161407471
42,0.6370128989219666
43,0.6345480680465698
44,0.6460864543914795
45,0.644530177116394
46,0.6451493501663208
47,0.6478451490402222
48,0.6478052139282227
49,0.6475122570991516
