,0
0,0.620140790939331
1,0.6411704421043396
2,0.5620600581169128
3,0.6672477722167969
4,0.6018022894859314
5,0.6122657656669617
6,0.6022393703460693
7,0.6590758562088013
8,0.690193235874176
9,0.6181719303131104
10,0.6933457255363464
11,0.6280112266540527
12,0.6691802144050598
13,0.6565322875976562
14,0.6615553498268127
15,0.658721923828125
16,0.554445743560791
17,0.6202245354652405
18,0.69744473695755
19,0.6580368876457214
20,0.6703345775604248
21,0.663362443447113
22,0.6869412064552307
23,0.7082972526550293
24,0.6666463613510132
25,0.6423729062080383
26,0.6481969356536865
27,0.7015081644058228
28,0.6395954489707947
29,0.6721709966659546
30,0.6539365649223328
31,0.6773234605789185
32,0.6336891055107117
33,0.6655636429786682
34,0.6679038405418396
35,0.6774670481681824
36,0.6798347234725952
37,0.6683204174041748
38,0.6656981706619263
39,0.6775858998298645
40,0.6700723171234131
41,0.6745784878730774
42,0.6753038763999939
43,0.6586602926254272
44,0.6709914207458496
45,0.6768903136253357
46,0.677272617816925
47,0.6778323650360107
48,0.6781913638114929
49,0.6778615713119507
