,0
0,0.3641489786761148
1,0.35413012093021756
2,0.3619804989723932
3,0.37287122103429976
4,0.3606855978568395
5,0.3595975459331558
6,0.36748843551391647
7,0.3591203680350667
8,0.3627089240011715
9,0.3635055622174626
10,0.3709155731967517
11,0.35158967907939637
12,0.358668610205253
13,0.3586234432246004
14,0.35996491110750606
15,0.36144118951190085
16,0.35404247801218713
17,0.3510121708114942
18,0.3572055036468165
19,0.35248200311547234
20,0.3514152225639139
21,0.36114669381862596
22,0.351051133445331
23,0.35897622410030594
24,0.3593128942662761
25,0.3562132908120042
26,0.34831038145791915
27,0.35734606633583704
28,0.34710731832754044
29,0.3458447230713708
30,0.35567985925646056
31,0.3529441491478965
32,0.3461002785889875
33,0.33718369340612775
34,0.3372271002048538
35,0.3422026806644031
36,0.3610101189286936
37,0.3344787571401823
38,0.34112455894549687
39,0.33454043964544933
40,0.3444850636734849
41,0.3530296519398689
42,0.3338008830235118
43,0.33494827690578644
44,0.32676738507690883
45,0.33973745689505624
46,0.3380792321903365
47,0.35337210503362476
48,0.3341841103420371
49,0.33442867366330964
